2020/06/01 12:00:20.498077,237.361,55.3393,ETH/USDT,bidsale
2020/06/01 12:00:20.498077,237.361,4.66074,ETH/USDT,bidsale
2020/06/01 12:00:20.498077,237.373,0.3988,ETH/USDT,bidsale
2020/06/01 12:00:20.498077,237.373,50.2797,ETH/USDT,bidsale
2020/06/01 12:00:20.498077,237.373,9.72027,ETH/USDT,bidsale
2020/06/01 12:00:20.498077,237.397,15,ETH/USDT,bidsale
2020/06/01 12:00:20.498077,237.42,10.3,ETH/USDT,bidsale
2020/06/01 12:00:20.498077,237.457,0.709329,ETH/USDT,bidsale
2020/06/01 12:00:20.498077,237.49,5.6698,ETH/USDT,bidsale
2020/06/01 12:00:20.498077,237.557,2.88,ETH/USDT,bidsale
2020/06/01 12:00:20.498077,237.557,11.0599,ETH/USDT,bidsale
2020/06/01 12:00:20.498077,237.557,53.9401,ETH/USDT,bidsale
2020/06/01 12:00:20.498077,237.565,1.39913,ETH/USDT,bidsale
2020/06/01 12:00:20.498077,237.565,0.0884288,ETH/USDT,bidsale
2020/06/01 12:00:20.498077,237.65,2.94,ETH/USDT,bidsale
2020/06/01 12:00:20.498077,237.661,1.99,ETH/USDT,bidsale
2020/06/01 12:00:20.498077,237.769,2.76929,ETH/USDT,bidsale
2020/06/01 12:00:20.498077,237.769,26.93,ETH/USDT,bidsale
2020/06/01 12:00:20.498077,237.769,5,ETH/USDT,bidsale
2020/06/01 12:00:20.498077,237.844,15.6215,ETH/USDT,bidsale
2020/06/01 12:00:25.503630,9498.53,0.139842,BTC/USDT,ask
2020/06/01 12:00:25.503630,9498.53,0.139842,BTC/USDT,ask
2020/06/01 12:00:25.503630,9498.53,0.139842,BTC/USDT,ask
2020/06/01 12:00:25.503630,9498.53,0.139842,BTC/USDT,ask
2020/06/01 12:00:25.503630,9498.53,0.139842,BTC/USDT,ask
2020/06/01 12:00:25.503630,9590.5,1.09331,BTC/USDT,bid
2020/06/01 12:00:25.503630,9590.5,1.09331,BTC/USDT,bid
2020/06/01 12:00:25.503630,9590.5,1.09331,BTC/USDT,bid
2020/06/01 12:00:25.503630,9590.5,1.09331,BTC/USDT,bid
2020/06/01 12:00:25.503630,9590.5,1.09331,BTC/USDT,bid
2020/06/01 12:00:25.503630,1e-08,73084.4,DOGE/BTC,ask
2020/06/01 12:00:25.503630,1e-08,73084.4,DOGE/BTC,ask
2020/06/01 12:00:25.503630,1e-08,73084.4,DOGE/BTC,ask
2020/06/01 12:00:25.503630,1e-08,73084.4,DOGE/BTC,ask
2020/06/01 12:00:25.503630,1e-08,73084.4,DOGE/BTC,ask
2020/06/01 12:00:25.503630,7.6e-07,184003,DOGE/BTC,bid
2020/06/01 12:00:25.503630,7.6e-07,184003,DOGE/BTC,bid
2020/06/01 12:00:25.503630,7.6e-07,184003,DOGE/BTC,bid
2020/06/01 12:00:25.503630,7.6e-07,184003,DOGE/BTC,bid
2020/06/01 12:00:25.503630,7.6e-07,184003,DOGE/BTC,bid
2020/06/01 12:00:25.503630,0.002425,73084.4,DOGE/USDT,ask
2020/06/01 12:00:25.503630,0.002425,73084.4,DOGE/USDT,ask
2020/06/01 12:00:25.503630,0.002425,73084.4,DOGE/USDT,ask
2020/06/01 12:00:25.503630,0.002425,73084.4,DOGE/USDT,ask
2020/06/01 12:00:25.503630,0.002425,73084.4,DOGE/USDT,ask
2020/06/01 12:00:25.503630,0.00276,3.79905e+06,DOGE/USDT,bid
2020/06/01 12:00:25.503630,0.00276,3.79905e+06,DOGE/USDT,bid
2020/06/01 12:00:25.503630,0.00276,3.79905e+06,DOGE/USDT,bid
2020/06/01 12:00:25.503630,0.00276,3.79905e+06,DOGE/USDT,bid
2020/06/01 12:00:25.503630,0.00276,3.79905e+06,DOGE/USDT,bid
2020/06/01 12:00:25.503630,0.02459,5.47978,ETH/BTC,ask
2020/06/01 12:00:25.503630,0.02459,5.47978,ETH/BTC,ask
2020/06/01 12:00:25.503630,0.02459,5.47978,ETH/BTC,ask
2020/06/01 12:00:25.503630,0.02459,5.47978,ETH/BTC,ask
2020/06/01 12:00:25.503630,0.02459,5.47978,ETH/BTC,ask
2020/06/01 12:00:25.503630,0.0252165,5.54565,ETH/BTC,bid
2020/06/01 12:00:25.503630,0.0252165,5.54565,ETH/BTC,bid
2020/06/01 12:00:25.503630,0.0252165,5.54565,ETH/BTC,bid
2020/06/01 12:00:25.503630,0.0252165,5.54565,ETH/BTC,bid
2020/06/01 12:00:25.503630,0.0252165,5.54565,ETH/BTC,bid
2020/06/01 12:00:25.503630,233.5,5.47978,ETH/USDT,ask
2020/06/01 12:00:25.503630,233.5,5.47978,ETH/USDT,ask
2020/06/01 12:00:25.503630,233.5,5.47978,ETH/USDT,ask
2020/06/01 12:00:25.503630,233.5,5.47978,ETH/USDT,ask
2020/06/01 12:00:25.503630,233.5,5.47978,ETH/USDT,ask
2020/06/01 12:00:25.503630,241.545,43.4095,ETH/USDT,bid
2020/06/01 12:00:25.503630,241.545,43.4095,ETH/USDT,bid
2020/06/01 12:00:25.503630,241.545,43.4095,ETH/USDT,bid
2020/06/01 12:00:25.503630,241.545,43.4095,ETH/USDT,bid
2020/06/01 12:00:25.503630,241.545,43.4095,ETH/USDT,bid
2020/06/01 12:00:25.503630,9498.53,0.139842,BTC/USDT,asksale
2020/06/01 12:00:25.503630,9498.53,0.139842,BTC/USDT,asksale
2020/06/01 12:00:25.503630,9498.53,0.139842,BTC/USDT,asksale
2020/06/01 12:00:25.503630,9498.53,0.139842,BTC/USDT,asksale
2020/06/01 12:00:25.503630,9498.53,0.139842,BTC/USDT,asksale
2020/06/01 12:00:25.503630,9549.56,0.394099,BTC/USDT,bidsale
2020/06/01 12:00:25.503630,9549.56,1.09331,BTC/USDT,bidsale
2020/06/01 12:00:25.503630,9549.56,1.09331,BTC/USDT,bidsale
2020/06/01 12:00:25.503630,9549.56,1.09331,BTC/USDT,bidsale
2020/06/01 12:00:25.503630,9549.56,0.325973,BTC/USDT,bidsale
2020/06/01 12:00:25.503630,9549.77,0.54436,BTC/USDT,bidsale
2020/06/01 12:00:25.503630,9550.04,0.00016268,BTC/USDT,bidsale
2020/06/01 12:00:25.503630,9550.64,0.222813,BTC/USDT,bidsale
2020/06/01 12:00:25.503630,1e-08,73084.4,DOGE/BTC,asksale
2020/06/01 12:00:25.503630,1e-08,73084.4,DOGE/BTC,asksale
2020/06/01 12:00:25.503630,1e-08,37833.8,DOGE/BTC,asksale
2020/06/01 12:00:25.503630,1e-08,35250.6,DOGE/BTC,asksale
2020/06/01 12:00:25.503630,1e-08,73084.4,DOGE/BTC,asksale
2020/06/01 12:00:25.503630,1e-08,73084.4,DOGE/BTC,asksale
2020/06/01 12:00:25.503630,2.7e-07,2583.23,DOGE/BTC,bidsale
2020/06/01 12:00:25.503630,2.7e-07,184003,DOGE/BTC,bidsale
2020/06/01 12:00:25.503630,2.7e-07,184003,DOGE/BTC,bidsale
2020/06/01 12:00:25.503630,2.7e-07,184003,DOGE/BTC,bidsale
